model_date,date,geography_modeled,rt_median,rt_lower,rt_upper
2021-02-03,2020-07-30,covidregion_11,1.00208159699468,0.853771545966905,1.11931593496493
2021-02-03,2020-08-01,covidregion_11,1.00617875124456,0.84993121385139,1.17582687053705
2021-02-03,2020-08-03,covidregion_11,1.01852396910339,0.874168737111918,1.18326575819379
2021-02-03,2020-08-05,covidregion_11,1.01997270680569,0.893656930470757,1.13626630466712
2021-02-03,2020-08-07,covidregion_11,1.00333607021479,0.847931769826775,1.12739392560041
2021-02-03,2020-08-09,covidregion_11,0.995440098079363,0.809289355409286,1.15356265653294
2021-02-03,2020-08-11,covidregion_11,0.970604374400627,0.806402009162085,1.10839667916152
2021-02-03,2020-08-13,covidregion_11,0.958238846702942,0.822141475779412,1.14804297152578
2021-02-03,2020-08-15,covidregion_11,0.935687118320539,0.804950324271236,1.14465108877735
2021-02-03,2020-08-17,covidregion_11,0.950900030636673,0.800738686188461,1.11667334903144
2021-02-03,2020-08-19,covidregion_11,0.914687978459155,0.778235668459509,1.09010226848818
2021-02-03,2020-08-21,covidregion_11,0.916879356485225,0.743669962520075,1.09564738641657
2021-02-03,2020-08-23,covidregion_11,0.909834443841906,0.755840121380925,1.12780143634222
2021-02-03,2020-08-25,covidregion_11,0.928034221582759,0.760078692145121,1.12688457435253
2021-02-03,2020-08-27,covidregion_11,0.921158827459589,0.763937098153999,1.15024748035245
2021-02-03,2020-08-29,covidregion_11,0.929693527712318,0.804737363992974,1.11894285293922
2021-02-03,2020-08-31,covidregion_11,0.986904569290602,0.833794171555911,1.14514064344639
2021-02-03,2020-09-02,covidregion_11,1.04780207137337,0.863814589205816,1.1889832349024
2021-02-03,2020-09-04,covidregion_11,1.07322307859964,0.855775479753032,1.2470884588838
2021-02-03,2020-09-06,covidregion_11,1.04861339606388,0.860267215602131,1.22005322104684
2021-02-03,2020-09-08,covidregion_11,1.04228208879726,0.855900483659933,1.17051027215953
2021-02-03,2020-09-10,covidregion_11,1.00991597836964,0.874829285344743,1.16712411194829
2021-02-03,2020-09-12,covidregion_11,1.04555931518339,0.894329950031774,1.15858844140742
2021-02-03,2020-09-14,covidregion_11,1.0514465355143,0.879509521995466,1.17971864918824
2021-02-03,2020-09-16,covidregion_11,1.03260230914089,0.914899856368934,1.20809224969736
2021-02-03,2020-09-18,covidregion_11,1.03507971450278,0.931631080507882,1.19900460936349
2021-02-03,2020-09-20,covidregion_11,1.0595793454448,0.946312135756462,1.1970252041815
2021-02-03,2020-09-22,covidregion_11,1.09455115591701,1.0088035957934,1.20178268957142
2021-02-03,2020-09-24,covidregion_11,1.12603533364923,1.04768016473232,1.26631804408343
2021-02-03,2020-09-26,covidregion_11,1.16343290114141,1.06620600063865,1.28280302291801
2021-02-03,2020-09-28,covidregion_11,1.21400431712932,1.07921968859247,1.33083477811615
2021-02-03,2020-09-30,covidregion_11,1.26298662238565,1.12376164848861,1.42581368030012
2021-02-03,2020-10-02,covidregion_11,1.30339846802515,1.16432139605477,1.45572847756621
2021-02-03,2020-10-04,covidregion_11,1.2926127274376,1.20425384033455,1.44718763121651
2021-02-03,2020-10-06,covidregion_11,1.32369300568173,1.23053966747252,1.46706252672969
2021-02-03,2020-10-08,covidregion_11,1.31526679621693,1.22163402359957,1.45416021907348
2021-02-03,2020-10-10,covidregion_11,1.31197582231141,1.19325343416356,1.44389502372683
2021-02-03,2020-10-12,covidregion_11,1.3100619456965,1.20649281556972,1.44638262525699
2021-02-03,2020-10-14,covidregion_11,1.32381814745496,1.22571755906096,1.4375632053617
2021-02-03,2020-10-16,covidregion_11,1.33685052121571,1.19070690746278,1.42744135208548
2021-02-03,2020-10-18,covidregion_11,1.31501359383075,1.12950227547485,1.40860934425994
2021-02-03,2020-10-20,covidregion_11,1.2824932868088,1.10247851931534,1.41350349608414
2021-02-03,2020-10-22,covidregion_11,1.25351548588777,1.10043120308695,1.39313756344985
2021-02-03,2020-10-24,covidregion_11,1.23735686476836,1.11012676578206,1.3609474505634
2021-02-03,2020-10-26,covidregion_11,1.26088079333089,1.10310931581905,1.3478767186208
2021-02-03,2020-10-28,covidregion_11,1.22679863320339,1.09760189308211,1.34637602199064
2021-02-03,2020-10-30,covidregion_11,1.25111615692098,1.07272344679125,1.34727498824644
2021-02-03,2020-11-01,covidregion_11,1.24157780779986,1.06628579572969,1.33585575823978
2021-02-03,2020-11-03,covidregion_11,1.20786175964344,1.04145602269857,1.31264344678036
2021-02-03,2020-11-05,covidregion_11,1.15362821096876,1.0220347943053,1.28919091546642
2021-02-03,2020-11-07,covidregion_11,1.09187314582489,0.981574691301142,1.23701561754876
2021-02-03,2020-11-09,covidregion_11,1.04942541923839,0.956260076714963,1.18390449103615
2021-02-03,2020-11-11,covidregion_11,1.00759969206734,0.913423063730444,1.13548103299241
2021-02-03,2020-11-13,covidregion_11,0.995744781451569,0.88070955972136,1.10928265197178
2021-02-03,2020-11-15,covidregion_11,0.988529797157035,0.847453117144729,1.07413181121863
2021-02-03,2020-11-17,covidregion_11,0.976385709139239,0.837728889417652,1.07894500149984
2021-02-03,2020-11-19,covidregion_11,0.958757256753438,0.826008459721537,1.05569691429734
2021-02-03,2020-11-21,covidregion_11,0.955139797406421,0.852662977909065,1.06045899416001
2021-02-03,2020-11-23,covidregion_11,0.977746224401079,0.845820096319593,1.09380513487577
2021-02-03,2020-11-25,covidregion_11,0.977284206627741,0.843777489307287,1.10073650349861
2021-02-03,2020-11-27,covidregion_11,0.973232850323479,0.834813950359166,1.08322719742617
2021-02-03,2020-11-29,covidregion_11,0.956042534605432,0.820015003130713,1.06582338965618
2021-02-03,2020-12-01,covidregion_11,0.953743591462163,0.802716942487111,1.06406596194357
2021-02-03,2020-12-03,covidregion_11,0.95202242920564,0.804607730250945,1.07656240954361
2021-02-03,2020-12-05,covidregion_11,0.944219377523142,0.817509837553618,1.08171739008274
